MAC,SSID,Encryption,Seen,Channel,RSSI,Latitude,Longitude,AltitudeMeters,AccuracyMeters,Type
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:7,1,-40,33.68588,-117.606975,414.5,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:7,6,-46,33.68588,-117.606975,414.5,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:7,1,-37,33.68588,-117.606975,414.5,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:7,6,-53,33.68588,-117.606975,414.5,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:15,1,-43,33.685351,-117.605899,429.5,124,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:15,6,-45,33.685351,-117.605899,429.5,124,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:18,1,-34,33.685147,-117.605518,433.2,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:18,6,-47,33.685147,-117.605518,433.2,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:21,1,-46,33.684944,-117.605192,435,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:21,6,-41,33.684944,-117.605192,435,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:24,1,-45,33.68472,-117.604882,435,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:24,6,-42,33.68472,-117.604882,435,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:24,1,-37,33.68472,-117.604882,435,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:24,6,-44,33.68472,-117.604882,435,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:24,1,-43,33.68472,-117.604882,435,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:24,6,-50,33.68472,-117.604882,435,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:24,1,-42,33.68472,-117.604882,435,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:24,6,-45,33.68472,-117.604882,435,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:35,1,-42,33.683608,-117.603925,441,121,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:35,6,-46,33.683608,-117.603925,441,121,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:38,1,-43,33.68329,-117.603678,441.6,146,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:38,6,-43,33.68329,-117.603678,441.6,146,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:41,1,-40,33.682938,-117.603494,441.6,146,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:41,6,-43,33.682938,-117.603494,441.6,146,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:41,1,-41,33.682938,-117.603494,442.3,305,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:41,6,-43,33.682938,-117.603494,442.3,305,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:41,1,-42,33.682938,-117.603494,442.3,305,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:41,6,-44,33.682938,-117.603494,442.3,305,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:41,1,-45,33.682938,-117.603494,442.3,305,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:41,6,-48,33.682938,-117.603494,442.3,305,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:52,1,-42,33.681645,-117.603108,446.3,181,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:52,6,-45,33.681645,-117.603108,446.3,181,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:55,1,-38,33.681338,-117.603089,443,136,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:55,6,-47,33.681338,-117.603089,443,136,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:58,1,-29,33.680998,-117.603055,437.6,136,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:58,6,-47,33.680998,-117.603055,437.6,136,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:58,1,-30,33.680998,-117.603055,437.6,136,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:58,6,-55,33.680998,-117.603055,437.6,136,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:58,1,-34,33.680998,-117.603055,437.6,136,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:37:58,6,-47,33.680998,-117.603055,437.6,136,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:37:58,1,-34,33.680998,-117.603055,437.6,136,WIFI
